Season,TeamID,Rating
2023,1192,64.4
2018,1300,65.3
2019,1300,65.48
2023,1411,66.56
2016,1192,66.72
2020,1300,66.82
2016,1221,66.85
2022,1394,67.3
2018,1254,67.64
2023,1369,67.71
2018,1411,67.93
2016,1380,67.96
2021,1313,68.29
2016,1214,68.61
2021,1411,68.79
2016,1122,68.83
2021,1291,68.91
2017,1309,69.24
2020,1341,69.28
2023,1224,69.31
2019,1341,69.57
2017,1291,69.78
2023,1394,69.92
2017,1413,69.94
2020,1352,70.0
2019,1192,70.04
2021,1111,70.28
2019,1295,70.35
2022,1411,70.37
2018,1347,70.89
2021,1216,70.93
2017,1411,70.99
2017,1300,71.04
2017,1240,71.17
2018,1420,71.36
2022,1313,71.39
2016,1195,71.41
2022,1136,71.55
2019,1205,71.74
2022,1168,71.78
2021,1156,71.8
2021,1233,71.81
2019,1233,71.88
2018,1168,71.88
2019,1101,72.33
2017,1315,72.33
2020,1131,72.4
2021,1180,72.43
2018,1252,72.45
2017,1355,72.79
2017,1297,72.83
2023,1297,72.86
2019,1133,72.91
2023,1421,73.02
2022,1240,73.15
2020,1373,73.18
2021,1331,73.27
2016,1451,73.28
2017,1407,73.28
2023,1244,73.28
2022,1255,73.42
2022,1209,73.46
2022,1460,73.52
2022,1174,73.57
2021,1287,73.72
2020,1114,73.74
2022,1389,74.17
2016,1421,74.17
2017,1245,74.27
2022,1286,74.3
2018,1460,74.31
2021,1213,74.72
2020,1297,74.73
2022,1463,74.74
2018,1372,74.78
2018,1233,74.79
2019,1159,74.95
2016,1167,74.97
2016,1292,75.02
2020,1457,75.11
2020,1295,75.31
2020,1186,75.31
2023,1286,75.32
2023,1343,75.41
2017,1233,75.49
2023,1364,75.52
2017,1457,75.53
2018,1335,75.55
2018,1267,75.58
2017,1308,75.6
2016,1138,75.66
2017,1195,75.81
2023,1213,75.9
2018,1209,75.99
2021,1186,76.07
2020,1372,76.09
2019,1285,76.17
2016,1453,76.18
2023,1159,76.2
2020,1414,76.26
2023,1436,76.26
2019,1209,76.3
2023,1418,76.35
2022,1159,76.4
2018,1158,76.44
2020,1133,76.55
2016,1151,76.6
2016,1201,76.61
2022,1103,76.69
2018,1285,76.79
2021,1251,76.98
2019,1330,76.98
2019,1387,77.01
2021,1101,77.04
2016,1392,77.09
2019,1463,77.11
2019,1297,77.27
2020,1317,77.42
2021,1325,77.51
2021,1179,77.58
2020,1220,77.6
2016,1333,77.63
2022,1308,77.68
2016,1423,77.72
2021,1422,77.75
2017,1137,77.93
2019,1251,78.02
2016,1218,78.02
2018,1422,78.03
2017,1190,78.05
2018,1355,78.07
2021,1317,78.16
2016,1233,78.22
2023,1202,78.23
2018,1137,78.25
2020,1308,78.34
2019,1414,78.36
2020,1103,78.39
2021,1364,78.41
2021,1457,78.42
2016,1396,78.48
2018,1281,78.49
2022,1461,78.52
2019,1318,78.58
2016,1355,78.64
2020,1125,78.66
2022,1151,78.7
2019,1385,78.84
2016,1114,78.9
2018,1293,78.93
2018,1138,79.07
2023,1331,79.19
2020,1251,79.27
2019,1436,79.29
2023,1245,79.37
2019,1396,79.39
2017,1436,79.49
2016,1276,79.57
2023,1305,79.59
2021,1159,79.61
2023,1233,79.63
2023,1338,79.66
2022,1355,79.67
2021,1333,79.7
2020,1417,79.71
2023,1158,79.77
2018,1308,79.79
2021,1210,79.84
2020,1436,79.88
2021,1455,79.9
2020,1463,79.9
2022,1350,79.91
2016,1409,79.93
2017,1343,80.0
2017,1439,80.02
2017,1423,80.19
2016,1463,80.2
2016,1320,80.24
2018,1382,80.26
2022,1436,80.32
2023,1113,80.34
2020,1113,80.55
2022,1235,80.57
2019,1125,80.67
2017,1305,80.73
2019,1124,80.76
2019,1278,80.84
2020,1350,80.87
2019,1113,80.87
2020,1400,80.88
2019,1308,80.91
2016,1372,80.98
2020,1425,80.99
2022,1353,81.13
2022,1274,81.13
2021,1328,81.17
2022,1412,81.17
2017,1425,81.18
2023,1179,81.18
2021,1439,81.21
2017,1278,81.23
2018,1113,81.26
2016,1403,81.27
2018,1344,81.27
2018,1260,81.28
2017,1292,81.28
2019,1293,81.29
2021,1207,81.33
2022,1293,81.35
2023,1281,81.39
2016,1425,81.4
2023,1301,81.44
2020,1190,81.45
2016,1160,81.46
2018,1243,81.48
2022,1166,81.49
2016,1386,81.61
2022,1323,81.61
2019,1279,81.64
2022,1161,81.65
2023,1433,81.65
2021,1433,81.69
2019,1433,81.7
2018,1361,81.72
2019,1416,81.72
2018,1301,81.74
2017,1344,81.75
2022,1362,81.78
2018,1305,81.82
2022,1172,81.83
2023,1280,81.85
2021,1281,81.85
2018,1393,81.86
2021,1417,81.89
2018,1172,81.9
2022,1266,81.9
2022,1395,81.93
2018,1328,82.1
2019,1371,82.2
2018,1104,82.2
2023,1321,82.24
2019,1429,82.26
2016,1338,82.29
2017,1462,82.34
2019,1234,82.36
2021,1155,82.37
2021,1429,82.37
2016,1173,82.37
2016,1344,82.48
2017,1268,82.48
2022,1129,82.49
2020,1160,82.5
2019,1449,82.55
2023,1194,82.57
2019,1326,82.59
2023,1129,82.59
2017,1321,82.6
2022,1371,82.61
2019,1332,82.64
2016,1393,82.69
2020,1301,82.7
2022,1344,82.72
2020,1153,82.75
2023,1344,82.77
2023,1336,82.78
2017,1277,82.79
2017,1173,82.84
2021,1277,82.87
2021,1382,82.87
2018,1400,82.9
2017,1433,82.93
2017,1371,82.95
2017,1448,82.96
2022,1231,82.98
2019,1328,83.01
2017,1266,83.01
2022,1425,83.02
2021,1196,83.04
2023,1425,83.04
2016,1433,83.05
2021,1393,83.07
2018,1348,83.07
2017,1243,83.08
2017,1376,83.08
2020,1344,83.11
2017,1116,83.19
2018,1417,83.22
2018,1116,83.29
2020,1328,83.31
2020,1388,83.36
2020,1231,83.37
2018,1166,83.4
2018,1439,83.43
2022,1277,83.46
2020,1228,83.47
2023,1429,83.48
2022,1361,83.49
2021,1242,83.5
2018,1401,83.55
2019,1388,83.58
2020,1353,83.58
2023,1274,83.6
2018,1199,83.61
2020,1429,83.62
2022,1260,83.7
2016,1153,83.7
2017,1435,83.79
2020,1266,83.8
2023,1438,83.81
2023,1277,83.82
2019,1393,83.92
2018,1274,83.94
2019,1196,83.95
2022,1314,83.99
2017,1348,84.02
2018,1120,84.04
2021,1353,84.13
2022,1326,84.15
2023,1452,84.15
2018,1155,84.15
2016,1139,84.17
2022,1388,84.34
2016,1323,84.36
2021,1268,84.36
2023,1462,84.36
2019,1459,84.38
2019,1266,84.41
2017,1166,84.43
2020,1336,84.43
2023,1234,84.44
2023,1243,84.45
2016,1371,84.46
2023,1268,84.5
2023,1235,84.52
2021,1140,84.53
2023,1228,84.54
2017,1274,84.56
2020,1139,84.56
2020,1261,84.6
2021,1332,84.6
2018,1139,84.65
2022,1458,84.66
2016,1400,84.66
2022,1439,84.68
2017,1329,84.71
2022,1276,84.73
2021,1437,84.75
2016,1458,84.75
2019,1268,84.82
2020,1234,84.83
2018,1395,84.84
2023,1120,84.87
2021,1329,84.89
2022,1272,84.91
2023,1272,84.93
2020,1438,85.0
2018,1371,85.05
2021,1261,85.07
2021,1260,85.09
2023,1116,85.1
2019,1280,85.11
2023,1401,85.13
2022,1104,85.15
2020,1140,85.16
2021,1163,85.26
2016,1163,85.32
2023,1395,85.41
2019,1153,85.44
2016,1124,85.47
2020,1196,85.51
2020,1120,85.52
2018,1326,85.59
2016,1435,85.59
2021,1361,85.6
2016,1143,85.62
2022,1261,85.72
2019,1138,85.74
2021,1425,85.76
2021,1397,85.79
