Season,TeamID,G1,G2,G3,G4,G5
1985,1228,W,W,W,L,W
1985,1328,W,W,W,W,W
1985,1106,W,L,W,W,L
1985,1112,W,L,L,W,L
1985,1165,W,L,L,W,L
1985,1192,W,W,W,W,L
1985,1218,L,W,L,W,L
1985,1242,L,W,W,W,W
1985,1260,W,W,W,W,W
1985,1305,W,W,W,W,W
1985,1307,L,W,W,W,L
1985,1344,L,W,L,L,W
1985,1374,L,W,L,L,W
1985,1412,L,W,W,W,L
1985,1417,W,W,W,L,W
1985,1354,L,W,W,L,L
1985,1223,L,W,W,W,W
1985,1432,L,L,W,L,W
1985,1447,L,W,L,L,L
1985,1337,W,W,W,W,W
1985,1226,L,W,W,W,W
1985,1268,L,W,W,W,W
1985,1133,L,W,W,W,L
1985,1424,W,W,W,W,W
1985,1288,L,L,W,L,L
1985,1438,L,L,L,L,W
1985,1411,L,L,W,L,L
1985,1397,L,W,W,L,W
1985,1225,L,L,L,L,L
1985,1116,L,W,W,W,L
1985,1120,W,W,W,W,W
1985,1135,W,L,L,W,L
1985,1143,W,L,L,L,L
1985,1153,L,W,W,L,L
1985,1171,L,L,L,W,L
1985,1173,L,W,W,W,L
1985,1177,L,W,W,W,W
1985,1193,L,L,L,L,W
1985,1196,L,W,W,L,L
1985,1206,L,W,W,W,L
1985,1210,W,W,W,L,W
1985,1211,L,L,L,L,W
1985,1234,L,L,W,W,L
1985,1243,L,W,W,L,L
1985,1257,L,W,L,W,L
1985,1277,L,W,W,W,L
1985,1278,L,L,L,L,L
1985,1286,L,L,W,W,L
1985,1301,L,W,W,L,W
1985,1325,W,W,L,W,W
1985,1326,W,L,W,L,W
1985,1339,W,L,L,W,L
1985,1365,W,W,W,L,W
1985,1375,L,W,L,L,W
1985,1403,W,W,W,W,W
1985,1423,L,L,W,L,L
1985,1429,L,W,W,L,L
1985,1437,L,W,L,W,W
1985,1439,L,L,W,W,W
1985,1443,L,L,L,W,W
1985,1455,W,W,W,L,W
1985,1368,W,L,W,W,W
1985,1391,L,L,L,W,L
1985,1306,L,W,L,W,L
1985,1388,L,W,W,L,W
1985,1184,L,W,W,W,W
1985,1159,L,L,L,L,L
1985,1216,W,L,L,W,L
1985,1134,W,W,L,W,W
1985,1296,W,L,W,L,W
1985,1265,L,W,W,W,W
1985,1416,L,L,W,L,W
1985,1137,L,W,W,W,W
1985,1149,W,W,W,W,L
1985,1102,L,W,L,L,W
1985,1114,L,W,W,W,W
1985,1332,L,L,W,W,L
1985,1317,L,W,W,L,L
1985,1231,L,L,L,W,L
1985,1145,L,W,W,L,W
1985,1453,L,L,L,L,L
1985,1186,W,L,W,L,W
1985,1144,L,W,L,L,L
1985,1384,L,W,L,W,W
1985,1248,L,W,L,L,W
1985,1287,L,L,L,W,L
1985,1334,L,L,L,W,L
1985,1126,L,W,L,L,W
1985,1152,L,W,W,L,W
1985,1347,L,L,W,L,W
1985,1428,L,W,W,W,W
1985,1436,L,W,L,L,L
1985,1172,L,L,W,L,L
1985,1330,L,W,W,L,W
1985,1121,L,L,W,W,L
1985,1249,L,W,W,W,W
1985,1241,L,W,L,L,W
1985,1314,L,W,W,W,L
1985,1323,W,W,W,L,W
1985,1458,W,L,L,W,W
1985,1440,L,W,W,W,L
1985,1200,L,W,W,L,L
1985,1264,L,W,L,L,L
1985,1104,L,W,W,W,W
1985,1160,L,L,W,L,L
1985,1181,L,W,L,W,W
1985,1247,L,L,L,L,W
1985,1276,W,W,W,W,W
1985,1338,L,W,L,W,L
1985,1376,L,W,L,L,W
1985,1378,W,L,W,L,W
1985,1396,W,W,W,L,W
1985,1398,L,L,L,W,L
1985,1399,L,W,W,L,W
1985,1448,L,L,W,L,L
1985,1464,L,W,W,L,W
1985,1414,L,L,L,W,W
1985,1387,L,W,L,L,L
1985,1183,W,W,W,W,W
1985,1284,L,W,L,L,W
1985,1402,L,L,W,L,L
1985,1178,L,W,W,L,L
1985,1364,L,W,L,L,L
1985,1290,L,W,W,L,L
1985,1202,L,L,L,W,W
1985,1180,L,L,L,L,W
1985,1155,L,L,L,L,W
1985,1258,W,L,L,L,L
1985,1124,L,L,W,W,L
1985,1130,L,L,L,L,W
1985,1204,L,W,W,W,W
1985,1233,W,W,W,W,W
1985,1246,L,L,W,L,W
1985,1280,L,L,L,L,L
1985,1308,L,L,L,L,W
1985,1348,L,W,L,L,L
1985,1373,L,W,W,L,W
1985,1379,L,L,L,L,L
1985,1409,L,W,W,W,L
1985,1444,L,L,L,L,W
1985,1451,L,W,L,L,L
1985,1341,W,L,L,L,L
1985,1254,L,W,L,W,W
1985,1151,L,W,W,W,W
1985,1220,L,W,L,L,W
1985,1405,L,W,L,W,L
1985,1238,W,W,L,W,L
1985,1431,L,W,L,W,W
1985,1253,L,L,W,L,L
1985,1363,L,W,W,W,W
1985,1270,L,W,W,W,W
1985,1331,L,W,W,W,L
1985,1434,L,L,L,L,L
1985,1139,L,W,W,W,W
1985,1154,L,W,W,L,W
1985,1229,L,L,W,W,W
1985,1259,L,W,W,W,L
1985,1261,L,W,W,W,W
1985,1272,W,W,W,W,L
1985,1273,W,W,W,L,W
1985,1318,W,W,W,W,W
1985,1360,L,L,W,W,L
1985,1393,L,W,L,W,L
1985,1419,L,W,L,L,L
1985,1442,L,W,L,L,W
1985,1456,L,W,L,W,W
1985,1227,L,W,W,L,W
1985,1406,L,L,L,L,W
1985,1117,L,W,L,L,W
1985,1163,L,L,W,L,W
1985,1418,L,L,L,L,L
1985,1161,L,W,W,W,W
1985,1298,W,W,W,W,L
1985,1353,L,W,W,L,W
1985,1359,L,W,L,W,W
1985,1361,W,W,L,L,W
1985,1386,L,W,W,L,W
1985,1400,L,W,L,L,W
1985,1433,W,W,W,L,W
1985,1281,L,W,L,L,W
1985,1109,L,L,L,L,L
1985,1309,W,L,L,W,L
1985,1321,L,L,L,W,L
1985,1285,L,W,W,W,L
1985,1271,L,L,L,L,L
1985,1351,L,W,W,L,W
1985,1267,W,W,W,W,L
1985,1322,L,L,L,L,L
1985,1187,L,L,L,W,L
1985,1111,L,L,W,L,W
1985,1119,W,L,W,W,L
1985,1185,L,L,W,W,L
1985,1201,L,W,L,W,W
1985,1212,L,L,L,L,L
1985,1292,W,W,W,W,L
1985,1319,L,W,L,W,L
1985,1320,L,W,W,L,W
1985,1371,L,W,L,L,L
1985,1382,L,W,W,W,L
1985,1385,L,W,W,W,L
1985,1390,L,L,L,L,W
1985,1425,L,W,L,W,W
1985,1435,L,L,W,L,L
1985,1441,L,L,W,W,W
1985,1449,W,W,L,W,W
1985,1245,L,W,W,L,L
1985,1150,L,W,L,L,L
1985,1141,L,W,L,W,L
1985,1221,L,W,W,L,W
1985,1122,L,L,W,L,L
1985,1199,L,W,W,L,W
1985,1197,L,W,W,W,W
1985,1140,L,L,L,L,W
1985,1162,W,W,W,W,L
1985,1239,L,W,L,W,L
1985,1349,L,L,W,L,L
1985,1222,L,W,L,L,L
1985,1383,L,W,L,L,L
1985,1463,W,L,L,W,W
1985,1123,L,W,W,L,W
1985,1103,L,L,W,W,L
1985,1129,L,W,L,W,L
1985,1156,L,W,W,W,L
1985,1174,L,L,W,L,L
1985,1203,L,L,W,W,L
1985,1235,L,W,W,W,L
1985,1256,W,W,W,W,W
1985,1266,W,L,L,W,L
1985,1269,L,W,L,L,L
1985,1310,L,L,W,L,L
1985,1329,L,L,L,L,L
