Season,TeamID,Wins,Losses,PtsFor,PtsAgainst,WinRatio,PtsDiff,PtsForRatio
1985,1102,5,19,355,1159,0.20833333333333334,-804,0.23447820343461032
1985,1103,9,14,632,772,0.391304347826087,-140,0.45014245014245013
1985,1104,21,9,1514,541,0.7,973,0.7367396593673966
1985,1106,10,14,751,968,0.4166666666666667,-217,0.43688190808609656
1985,1108,19,6,1631,444,0.76,1187,0.7860240963855422
1985,1109,1,23,54,1238,0.041666666666666664,-1184,0.04179566563467492
1985,1110,7,18,550,1186,0.28,-636,0.31682027649769584
1985,1111,10,14,708,903,0.4166666666666667,-195,0.43947858472998136
1985,1112,18,9,1265,531,0.6666666666666666,734,0.7043429844097996
1985,1113,11,16,824,1004,0.4074074074074074,-180,0.45076586433260396
1985,1114,17,13,1306,851,0.5666666666666667,455,0.6054705609643023
1985,1116,21,12,1448,708,0.6363636363636364,740,0.6716141001855288
1985,1117,11,14,727,874,0.44,-147,0.4540911930043723
1985,1119,15,13,1039,817,0.5357142857142857,222,0.5598060344827587
1985,1120,18,11,1308,732,0.6206896551724138,576,0.6411764705882353
1985,1121,7,19,548,1115,0.2692307692307692,-567,0.3295249549007817
1985,1122,6,17,387,1081,0.2608695652173913,-694,0.26362397820163486
1985,1123,13,16,1093,1132,0.4482758620689655,-39,0.4912359550561798
1985,1124,7,17,637,1246,0.2916666666666667,-609,0.3382899628252788
1985,1126,6,19,419,1259,0.24,-840,0.2497020262216925
1985,1129,12,13,845,833,0.48,12,0.5035756853396901
1985,1130,16,10,1300,647,0.6153846153846154,653,0.6676938880328711
1985,1131,14,14,997,919,0.5,78,0.5203549060542797
1985,1132,11,15,791,961,0.4230769230769231,-170,0.4514840182648402
1985,1133,16,12,1163,806,0.5714285714285714,357,0.590655154900965
1985,1134,11,13,842,809,0.4583333333333333,33,0.5099939430648092
1985,1135,8,18,576,1160,0.3076923076923077,-584,0.3317972350230415
1985,1137,15,10,1099,676,0.6,423,0.6191549295774648
1985,1139,16,8,1117,519,0.6666666666666666,598,0.6827628361858191
1985,1140,15,14,1119,1056,0.5172413793103449,63,0.5144827586206897
1985,1141,6,18,445,1218,0.25,-773,0.2675886951292844
1985,1143,10,15,616,882,0.4,-266,0.411214953271028
1985,1144,2,21,126,1249,0.08695652173913043,-1123,0.09163636363636364
1985,1145,18,9,1384,547,0.6666666666666666,837,0.7167270844122217
1985,1147,4,20,319,1210,0.16666666666666666,-891,0.20863309352517986
1985,1149,10,13,728,794,0.43478260869565216,-66,0.4783180026281209
1985,1150,4,21,299,1385,0.16,-1086,0.17755344418052257
1985,1151,19,7,1382,429,0.7307692307692307,953,0.763114301490889
1985,1152,14,11,1046,766,0.56,280,0.5772626931567328
1985,1153,14,13,918,805,0.5185185185185185,113,0.5327916424840394
1985,1154,15,10,1162,723,0.6,439,0.6164456233421751
1985,1155,15,12,1214,797,0.5555555555555556,417,0.6036797613127797
1985,1156,18,8,1446,622,0.6923076923076923,824,0.6992263056092843
1985,1159,1,21,60,966,0.045454545454545456,-906,0.05847953216374269
1985,1160,8,17,636,1136,0.32,-500,0.35891647855530473
1985,1161,16,12,1186,729,0.5714285714285714,457,0.6193211488250653
1985,1162,12,13,769,719,0.48,50,0.5168010752688172
1985,1163,13,15,1024,967,0.4642857142857143,57,0.5143144148669011
1985,1165,12,12,767,706,0.5,61,0.5207060420909708
1985,1166,13,12,1015,787,0.52,228,0.5632630410654828
1985,1168,16,13,1162,840,0.5517241379310345,322,0.5804195804195804
1985,1171,5,20,342,1219,0.2,-877,0.2190903267136451
1985,1172,8,19,610,1187,0.2962962962962963,-577,0.3394546466332777
1985,1173,19,9,1344,603,0.6785714285714286,741,0.6902927580893683
1985,1174,11,14,776,934,0.44,-158,0.45380116959064326
1985,1175,10,15,781,938,0.4,-157,0.45433391506689935
1985,1177,18,9,1340,595,0.6666666666666666,745,0.6925064599483204
1985,1178,15,12,1133,857,0.5555555555555556,276,0.5693467336683417
